Farm_ID,Min_PH,Max_PH,Soil_Type
1,5.5,6.9,clay
2,4.9,6.3,loam
3,5.8,6.5,clay
4,4.7,6,loam
5,5.8,6.3,sandy
6,5.5,6.8,clay
7,5,6.5,clay_loam
8,7.2,8.5,black
9,5.9,6.6,clay_loam
10,7.5,8.5,black
11,5.9,7.1,clay
12,4.9,6.3,clay_loam
13,5.8,6.2,sandy
14,5,6.5,loam
15,6,6.9,clay
16,5.7,7,clay
17,5.6,6,clay
18,6,7.9,sandy
19,4.6,6.3,loam
20,4.7,6.2,loam
21,5.7,6.1,sandy
22,7.2,8,medium_black
23,5.9,6.3,sandy
24,4.6,5.5,sandy_loam
25,5.9,7.2,clay
26,5.2,6.5,clay_loam
27,6.6,8,red
28,7.2,7.9,black
29,7,7.8,black
30,5.8,6.4,clay
31,6.6,7.8,red
32,7.4,8.4,black
33,6.5,8.4,alluvial
34,7.2,7.6,black
35,7.3,8.5,black
36,6.5,7.5,alkaline
37,4.5,5.8,loam
38,5.8,6.1,sandy
39,7.3,8,black
40,5.7,6.2,sandy
41,4.5,5.3,sandy_loam
42,5.8,6.7,clay
43,6.8,8,red
44,7.2,8.4,black
45,6.5,8.3,alluvial
46,7.2,8.2,black
47,7,8.4,black
48,6.6,8.2,alluvial
49,4.6,5.5,sandy_loam
50,4.9,6.8,clay_loam
